字段,R方,VIF,诊断
daily_commute_km,0.9412380713237911,17.017821275237907,高共线
weekly_travel_distance_km,0.8927674052930844,9.325522736190104,可接受
fuel_expense_per_month,0.88456039031407,8.662537951407174,可接受
ev_knowledge_score,0.743197231681651,3.894039018926527,可接受
technology_affinity_score,0.6090939048977417,2.5581591398271932,可接受
environmental_awareness_score,0.5709962022895604,2.330981696052397,可接受
annual_income_log,0.254993120267634,1.3422694839532716,可接受
charging_station_accessibility,0.0854072793414592,1.0933828549170639,可接受
nearest_charging_station_km,0.08531863945400053,1.0932768974357052,可接受
vehicle_age_years,0.00044151710318096615,1.0004417121266396,可接受
electricity_cost_per_kwh,0.00041860241408442356,1.0004187777154472,可接受
battery_replacement_concern,0.0003312352741440261,1.000331345027305,可接受
government_incentive_awareness,0.00022846505611795465,1.0002285172643275,可接受
age,0.00014032992682000422,1.0001403496220722,可接受
