处理变量,方案,样本数,均值,标准差,中位数,下四分位数,上四分位数
fuel_expense_per_month,负值转缺失后中位数插补,50000,296.87478400000003,128.08994856292122,295.6,207.1,383.0
fuel_expense_per_month,负值截断为0,50000,295.27263200000004,129.93136057535068,294.8,205.2,383.0
fuel_expense_per_month,删除负值记录,49729,296.88173098192203,128.43846212087203,295.6,206.6,383.5
annual_income,不缩尾,50000,44311.86938,26109.170784476086,37891.0,25617.75,56051.25
annual_income,1%-99%缩尾对照,50000,44085.84326,25004.470444284907,37891.0,25617.75,56051.25
weekly_travel_distance_km,不缩尾,50000,228.7272,101.14725360927135,224.1,157.7,294.5
weekly_travel_distance_km,1%-99%缩尾对照,50000,228.33709799999997,99.86116651631883,224.1,157.7,294.5
monthly_charging_cost,不缩尾,50000,40.235028,24.940342769359948,35.2,21.6,54.1
monthly_charging_cost,1%-99%缩尾对照,50000,40.095992,24.38109032605486,35.2,21.6,54.1
