指标,数值,单位,统计口径
原始样本数,50000.0,行,CSV数据行
字段数,23.0,列,原始字段
原始缺失单元格数,1500.0,个,全部23字段
业务异常单元格数,271.0,个,业务范围规则
完全重复记录数,0.0,行,23字段完全一致
规则清洗后样本数,50000.0,行,删除完全重复记录后
任务一类别数,3.0,类,Low/Medium/High
任务二正类比例,0.64976,比例,home_charging_available=1
任务三高焦虑比例,0.4921,比例,range_anxiety_score>5
