检查项,统计量,数值,判定阈值,结论
月充电成本乘积一致性,样本数,50000.0,-,用于识别派生字段
月充电成本乘积一致性,绝对误差中位数,0.3880000000000008,-,越接近0越一致
月充电成本乘积一致性,相对误差中位数,0.011627906976744267,-,越接近0越一致
月充电成本乘积一致性,相对误差≤5%比例,0.99194,0.95,高比例说明字段为计算派生结果
